"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jul 10 20:35:19 GMT 2024","Wed Jul 10 20:35:19 GMT 2024","137","tests.meeting","test_post_meeting","","","","test_post_meeting_string_duration",""
"passed","Wed Jul 10 20:35:15 GMT 2024","Wed Jul 10 20:35:15 GMT 2024","87","tests.meeting","test_get_meetings","","","","test_get_meetings_unauthorized",""
"failed","Wed Jul 10 20:35:18 GMT 2024","Wed Jul 10 20:35:18 GMT 2024","118","tests.meeting","test_post_meeting","","","","test_post_meeting_empty_description",""
"passed","Wed Jul 10 20:35:17 GMT 2024","Wed Jul 10 20:35:17 GMT 2024","98","tests.meeting","test_post_meeting","","","","test_post_meetings_unauthorized",""
"passed","Wed Jul 10 20:35:19 GMT 2024","Wed Jul 10 20:35:19 GMT 2024","97","tests.meeting","test_post_meeting","","","","test_post_meeting_without_credentials",""
"passed","Wed Jul 10 20:35:13 GMT 2024","Wed Jul 10 20:35:13 GMT 2024","111","tests.meeting","test_delete_meeting","","","","test_delete_meeting_unauthorized_user",""
"passed","Wed Jul 10 20:35:10 GMT 2024","Wed Jul 10 20:35:10 GMT 2024","98","tests.login","test_login","","","","test_login_empty_fields",""
"passed","Wed Jul 10 20:35:10 GMT 2024","Wed Jul 10 20:35:10 GMT 2024","101","tests.login","test_login","","","","test_get_login_invalid_username_and_password",""
"passed","Wed Jul 10 20:35:16 GMT 2024","Wed Jul 10 20:35:17 GMT 2024","204","tests.meeting","test_post_meeting","","","","test_post_meetings_schema_validation",""
"passed","Wed Jul 10 20:35:19 GMT 2024","Wed Jul 10 20:35:19 GMT 2024","127","tests.meeting","test_post_meeting","","","","test_post_meeting_string_users_ids",""
"passed","Wed Jul 10 20:35:12 GMT 2024","Wed Jul 10 20:35:12 GMT 2024","139","tests.meeting","test_delete_meeting","","","","test_delete_meeting_returns_ok",""
"passed","Wed Jul 10 20:35:17 GMT 2024","Wed Jul 10 20:35:17 GMT 2024","102","tests.meeting","test_post_meeting","","","","test_post_meeting_with_invalid_auth",""
"passed","Wed Jul 10 20:35:11 GMT 2024","Wed Jul 10 20:35:11 GMT 2024","130","tests.meeting","test_delete_meeting","","","","test_delete_non_existent_meeting",""
"failed","Wed Jul 10 20:35:16 GMT 2024","Wed Jul 10 20:35:16 GMT 2024","201","tests.meeting","test_post_meeting","","","","test_post_meeting_success",""
"passed","Wed Jul 10 20:35:11 GMT 2024","Wed Jul 10 20:35:11 GMT 2024","92","tests.login","test_login","","","","test_login_empty_password",""
"passed","Wed Jul 10 20:35:15 GMT 2024","Wed Jul 10 20:35:16 GMT 2024","107","tests.meeting","test_get_meetings","","","","test_get_meetings_invalid_auth",""
"passed","Wed Jul 10 20:35:19 GMT 2024","Wed Jul 10 20:35:19 GMT 2024","134","tests.meeting","test_post_meeting","","","","test_post_meeting_invalid_input_data",""
"passed","Wed Jul 10 20:35:11 GMT 2024","Wed Jul 10 20:35:11 GMT 2024","85","tests.meeting","test_delete_meeting","","","","test_delete_meeting_without_auth",""
"passed","Wed Jul 10 20:35:15 GMT 2024","Wed Jul 10 20:35:15 GMT 2024","131","tests.meeting","test_get_meetings","","","","test_get_meetings_max_size",""
"passed","Wed Jul 10 20:35:10 GMT 2024","Wed Jul 10 20:35:11 GMT 2024","87","tests.login","test_login","","","","test_login_empty_user",""
"passed","Wed Jul 10 20:35:17 GMT 2024","Wed Jul 10 20:35:17 GMT 2024","127","tests.meeting","test_post_meeting","","","","test_post_meeting_missing_date_start",""
"passed","Wed Jul 10 20:35:12 GMT 2024","Wed Jul 10 20:35:12 GMT 2024","124","tests.meeting","test_delete_meeting","","","","test_delete_meeting_invalid_id",""
"passed","Wed Jul 10 20:35:14 GMT 2024","Wed Jul 10 20:35:14 GMT 2024","244","tests.meeting","test_get_meetings","","","","test_get_meetings_schema_validation",""
"passed","Wed Jul 10 20:35:10 GMT 2024","Wed Jul 10 20:35:10 GMT 2024","111","tests.login","test_login","","","","test_get_login_invalid_username",""
"failed","Wed Jul 10 20:35:17 GMT 2024","Wed Jul 10 20:35:17 GMT 2024","187","tests.meeting","test_post_meeting","","","","test_post_meeting_missing_status",""
"passed","Wed Jul 10 20:35:18 GMT 2024","Wed Jul 10 20:35:18 GMT 2024","123","tests.meeting","test_post_meeting","","","","test_post_meeting_invalid_date_start_format",""
"passed","Wed Jul 10 20:35:17 GMT 2024","Wed Jul 10 20:35:18 GMT 2024","124","tests.meeting","test_post_meeting","","","","test_post_meeting_missing_assigned_user_id",""
"failed","Wed Jul 10 20:35:12 GMT 2024","Wed Jul 10 20:35:12 GMT 2024","292","tests.meeting","test_delete_meeting","","","","test_deleted_meeting_not_recoverable",""
"passed","Wed Jul 10 20:35:10 GMT 2024","Wed Jul 10 20:35:10 GMT 2024","204","tests.login","test_login","","","","test_get_login_success",""
"passed","Wed Jul 10 20:35:16 GMT 2024","Wed Jul 10 20:35:16 GMT 2024","139","tests.meeting","test_get_meetings","","","","test_get_meetings_order_desc",""
"failed","Wed Jul 10 20:35:18 GMT 2024","Wed Jul 10 20:35:18 GMT 2024","134","tests.meeting","test_post_meeting","","","","test_post_meeting_empty_reminder",""
"passed","Wed Jul 10 20:35:10 GMT 2024","Wed Jul 10 20:35:10 GMT 2024","109","tests.login","test_login","","","","test_get_login_invalid_password",""
